order_id,date,product,category,price,quantity,city,customer
ECM0054,2024-06-22,Set Peralatan Masak,Rumah Tangga,342000.0,5.0,Kediri,User9083
ECM0351,2024-08-18,Hoodie Unisex,Fashion,114000.0,3.0,Jakarta,User3231
ECM0286,2024-10-18,Case HP,Elektronik,52000.0,5.0,Jakarta,User5749
ECM0378,2024-07-04,Lampu Meja LED,Rumah Tangga,68000.0,2.0,Denpasar,User4505
ECM0421,2024-11-14,Granola Bar,Makanan,30000.0,3.0,Jakarta,User1386
ECM0458,2024-12-11,Teh Celup Premium,Makanan,22000.0,1.0,Malang,User9830
ECM0312,2024-09-08,Keyboard Mekanik,Elektronik,251000.0,3.0,Kediri,User7156
ECM0462,2024-07-02,Granola Bar,Makanan,23000.0,1.0,Jakarta,User5036
ECM0311,2024-07-18,Lampu Meja LED,Rumah Tangga,104000.0,5.0,Denpasar,User7729
ECM0295,2024-08-01,Teh Celup Premium,Makanan,24000.0,4.0,Palembang,User4911
ECM0342,2024-09-22,Granola Bar,Makanan,30000.0,4.0,Malang,User7639
ECM0136,2024-06-30,Mouse Wireless,Elektronik,136000.0,5.0,Malang,User1884
ECM0088,2025-01-14,Topi Baseball,Fashion,77000.0,4.0,Kediri,User3817
ECM0118,2024-07-06,Mouse Wireless,Elektronik,,2.0,Jakarta,User8255
ECM0391,2024-12-20,Granola Bar,Makanan,25000.0,1.0,Surabaya,User2939
ECM0279,2024-06-25,Lampu Meja LED,Rumah Tangga,103000.0,3.0,Palembang,User3337
ECM0233,2024-10-14,Case HP,Elektronik,35000.0,5.0,Denpasar,User3213
ECM0089,2024-07-28,Granola Bar,Makanan,27000.0,2.0,Denpasar,User5373
ECM0455,2024-12-14,Keyboard Mekanik,Elektronik,356000.0,4.0,Jakarta,User3525
ECM0419,2024-10-28,Lampu Meja LED,Rumah Tangga,95000.0,2.0,Surabaya,User7199
ECM0170,2024-06-13,Granola Bar,Makanan,,2.0,Malang,User6389
ECM0191,2024-08-01,Set Peralatan Masak,Rumah Tangga,156000.0,2.0,Bandung,User5173
ECM0259,2024-07-09,Sandal Jepit,Fashion,,2.0,Surabaya,User4540
ECM0058,2024-07-31,Sandal Jepit,Fashion,39000.0,5.0,Malang,User5298
ECM0427,2024-07-06,Case HP,Elektronik,49000.0,1.0,Balikpapan,User8725
ECM0461,2024-08-27,Lampu Meja LED,Rumah Tangga,63000.0,1.0,Palembang,User1899
ECM0137,2024-12-19,Mouse Wireless,Elektronik,77000.0,4.0,Malang,User1872
ECM0129,2024-09-21,Charger Fast Charging,Elektronik,96000.0,4.0,Malang,User9031
ECM0215,2024-10-12,Charger Fast Charging,Elektronik,57000.0,2.0,Malang,User8406
ECM0084,2025-01-20,Hoodie Unisex,Fashion,129000.0,2.0,Surabaya,User2484
ECM0289,2024-09-17,Charger Fast Charging,Elektronik,77000.0,4.0,Jakarta,User6362
ECM0448,2024-11-30,Mouse Wireless,Elektronik,,5.0,Palembang,User3787
ECM0192,2024-10-27,Hoodie Unisex,Fashion,204000.0,1.0,Malang,User6536
ECM0317,2024-09-12,Keyboard Mekanik,Elektronik,387000.0,1.0,Jakarta,User3245
ECM0071,2024-08-24,Case HP,Elektronik,56000.0,5.0,Malang,User1528
ECM0332,2024-11-17,Topi Baseball,Fashion,52000.0,3.0,Palembang,User8849
ECM0218,2024-09-10,Minyak Zaitun 250ml,Makanan,123000.0,3.0,Surabaya,User7426
ECM0473,2024-06-04,Case HP,Elektronik,47000.0,2.0,Jakarta,User5293
ECM0324,2024-07-06,Lampu Meja LED,Rumah Tangga,108000.0,1.0,Surabaya,User8952
ECM0408,2025-01-15,Keyboard Mekanik,Elektronik,297000.0,1.0,Kediri,User2992
ECM0340,2024-10-21,Mouse Wireless,Elektronik,90000.0,4.0,Palembang,User6195
ECM0040,2024-12-06,Charger Fast Charging,Elektronik,88000.0,5.0,Jakarta,User5470
ECM0248,2024-11-13,Charger Fast Charging,Elektronik,105000.0,5.0,Malang,User7058
ECM0231,2024-10-07,Charger Fast Charging,Elektronik,70000.0,3.0,Palembang,User1953
ECM0291,2024-12-09,Hoodie Unisex,Fashion,136000.0,3.0,Balikpapan,User2654
ECM0468,2025-01-20,Mouse Wireless,Elektronik,87000.0,3.0,Jakarta,User5606
ECM0105,2025-01-14,Teh Celup Premium,Makanan,19000.0,3.0,Balikpapan,User3592
ECM0472,2024-06-20,Case HP,Elektronik,27000.0,1.0,Jakarta,User2426
ECM0251,2024-08-24,Topi Baseball,Fashion,75000.0,2.0,Surabaya,User2533
ECM0061,2024-12-09,Case HP,Elektronik,46000.0,3.0,Jakarta,User9547
ECM0475,2024-08-22,Lampu Meja LED,Rumah Tangga,69000.0,5.0,Malang,User9562
ECM0367,2024-12-23,Set Peralatan Masak,Rumah Tangga,313000.0,1.0,Surabaya,User9812
ECM0175,2025-01-06,Sandal Jepit,Fashion,25000.0,1.0,Surabaya,User5936
ECM0201,2024-11-21,Sandal Jepit,Fashion,49000.0,2.0,Jakarta,User2751
ECM0256,2024-10-01,Mouse Wireless,Elektronik,98000.0,3.0,Palembang,User9302
ECM0325,2024-11-02,Mouse Wireless,Elektronik,148000.0,3.0,Palembang,User6491
ECM0424,2024-08-12,Lampu Meja LED,Rumah Tangga,57000.0,2.0,Jakarta,User6355
