order_id,date,product,category,price,quantity,city,customer
ORD0293,2024-09-19,Madu Hutan 250ml,Makanan,89000.0,4.0,Surabaya,Cust6305
ORD0516,2024-03-19,Sepatu Sneakers,Fashion,261000.0,5.0,Bandung,Cust2528
ORD0405,2024-12-03,Smartwatch,Elektronik,546000.0,3.0,Jakarta,Cust9290
ORD0329,2024-02-10,Sepatu Sneakers,Fashion,194000.0,5.0,Kediri,Cust7397
ORD0218,2024-12-08,Sepatu Sneakers,Fashion,254000.0,3.0,Kediri,Cust1846
ORD0054,2024-06-11,Smartwatch,Elektronik,494000.0,6.0,Makassar,Cust1361
ORD0559,2024-03-09,Kopi Bubuk 200g,Makanan,32000.0,4.0,Makassar,Cust4032
ORD0194,2024-11-27,Power Bank 10000mAh,Elektronik,,7.0,Medan,Cust9860
ORD0593,2024-10-17,Kemeja Flanel,Fashion,86000.0,2.0,,Cust8031
ORD0408,2024-02-25,Tas Ransel,Fashion,,3.0,Semarang,Cust8668
ORD0274,2024-11-02,Madu Hutan 250ml,Makanan,82000.0,3.0,Kediri,Cust2375
ORD0116,2024-04-04,Kabel Data USB-C,Elektronik,23000.0,3.0,Surabaya,Cust1223
ORD0111,2024-11-27,Kemeja Flanel,Fashion,116000.0,4.0,Kediri,Cust3744
ORD0522,2024-06-02,Tas Ransel,Fashion,201000.0,7.0,Makassar,Cust3117
ORD0521,2024-02-21,Power Bank 10000mAh,Elektronik,209000.0,7.0,Makassar,Cust3694
ORD0459,2024-11-29,Kopi Bubuk 200g,Makanan,29000.0,4.0,Bandung,Cust3347
ORD0519,2024-03-11,Smartwatch,Elektronik,251000.0,5.0,Semarang,Cust7658
ORD0290,2024-10-01,Smartwatch,Elektronik,597000.0,4.0,Medan,Cust6939
ORD0155,2024-06-02,Smartwatch,Elektronik,558000.0,3.0,Kediri,Cust8985
ORD0370,2024-10-11,Rak Buku Mini,Rumah Tangga,188000.0,6.0,Semarang,Cust2547
ORD0173,2024-01-19,Rak Buku Mini,Rumah Tangga,176000.0,3.0,Jakarta,Cust8667
ORD0472,2024-07-06,Kopi Bubuk 200g,Makanan,54000.0,1.0,Kediri,Cust5301
ORD0584,2024-09-04,Kaos Polos,Fashion,88000.0,2.0,Yogyakarta,Cust9296
ORD0507,2024-01-30,Kabel Data USB-C,Elektronik,23000.0,4.0,Makassar,Cust7393
ORD0577,2024-03-25,Keripik Singkong,Makanan,22000.0,2.0,Makassar,Cust4668
ORD0386,2024-02-01,Sepatu Sneakers,Fashion,214000.0,4.0,Yogyakarta,Cust6191
ORD0557,2024-11-29,Rak Buku Mini,Rumah Tangga,181000.0,6.0,Yogyakarta,Cust8182
ORD0250,2024-07-09,Kaos Polos,Fashion,72000.0,3.0,Medan,Cust2487
ORD0253,2024-05-15,Tas Ransel,Fashion,210000.0,3.0,Makassar,Cust8516
ORD0341,2024-11-16,Botol Minum,Rumah Tangga,30000.0,2.0,Medan,Cust9240
ORD0388,2024-07-12,Kopi Bubuk 200g,Makanan,54000.0,3.0,Kediri,Cust5442
ORD0102,2024-12-09,Tas Ransel,Fashion,127000.0,2.0,Yogyakarta,Cust1401
ORD0338,2024-12-07,Headset Bluetooth,Elektronik,269000.0,7.0,Makassar,Cust4749
ORD0554,2024-06-03,Headset Bluetooth,Elektronik,254000.0,5.0,Bandung,Cust2060
ORD0330,2024-02-26,Kabel Data USB-C,Elektronik,35000.0,5.0,Surabaya,Cust4811
ORD0110,2024-09-08,Wajan Anti Lengket,Rumah Tangga,108000.0,4.0,Makassar,Cust8667
ORD0147,2024-10-21,Kaos Polos,Fashion,65000.0,6.0,Kediri,Cust5801
ORD0534,2024-02-19,Kemeja Flanel,Fashion,144000.0,6.0,Semarang,Cust9845
ORD0321,2024-05-02,Headset Bluetooth,Elektronik,185000.0,1.0,Jakarta,Cust5089
ORD0245,2024-11-15,Botol Minum,Rumah Tangga,32000.0,6.0,,Cust7953
ORD0430,2024-05-31,Rak Buku Mini,Rumah Tangga,134000.0,2.0,Makassar,Cust9768
ORD0418,2024-08-20,Sepatu Sneakers,Fashion,246000.0,2.0,Medan,Cust9838
ORD0510,2024-12-27,Kemeja Flanel,Fashion,135000.0,5.0,Makassar,Cust1977
ORD0569,2024-03-21,Botol Minum,Rumah Tangga,57000.0,1.0,Kediri,Cust9259
ORD0579,2024-09-28,Keripik Singkong,Makanan,13000.0,5.0,Bandung,Cust9351
ORD0143,2024-11-07,Kemeja Flanel,Fashion,132000.0,3.0,Makassar,Cust9121
ORD0335,2024-06-17,Smartwatch,Elektronik,362000.0,3.0,Bandung,Cust2600
ORD0590,2024-04-22,Kopi Bubuk 200g,Makanan,43000.0,3.0,Yogyakarta,Cust6745
ORD0160,2024-01-10,Rak Buku Mini,Rumah Tangga,154000.0,5.0,Semarang,Cust3694
ORD0241,2024-04-04,Sepatu Sneakers,Fashion,161000.0,4.0,Kediri,Cust2151
ORD0562,2024-08-28,Kaos Polos,Fashion,60000.0,3.0,Semarang,Cust5264
ORD0169,2024-06-07,Headset Bluetooth,Elektronik,260000.0,4.0,Yogyakarta,Cust2256
ORD0135,2024-09-03,Kopi Bubuk 200g,Makanan,36000.0,1.0,Yogyakarta,Cust7863
ORD0284,2024-09-19,Smartwatch,Elektronik,361000.0,3.0,Semarang,Cust5149
ORD0271,2024-06-18,Headset Bluetooth,Elektronik,284000.0,5.0,Jakarta,Cust9737
ORD0281,2024-06-16,Kemeja Flanel,Fashion,167000.0,1.0,Kediri,Cust8180
ORD0553,2024-10-26,Kopi Bubuk 200g,Makanan,54000.0,6.0,Jakarta,Cust2451
ORD0071,2024-06-05,Kopi Bubuk 200g,Makanan,27000.0,3.0,Medan,Cust8069
ORD0099,2024-05-23,Botol Minum,Rumah Tangga,40000.0,4.0,Makassar,Cust3957
ORD0100,2024-01-16,Sepatu Sneakers,Fashion,166000.0,6.0,Makassar,Cust4903
ORD0504,2024-01-09,Keripik Singkong,Makanan,18000.0,5.0,Semarang,Cust8803
ORD0501,2024-06-09,Sepatu Sneakers,Fashion,223000.0,1.0,Jakarta,Cust7308
ORD0201,2024-04-25,Power Bank 10000mAh,Elektronik,129000.0,6.0,Makassar,Cust2117
ORD0325,2024-06-03,Madu Hutan 250ml,Makanan,92000.0,2.0,Jakarta,Cust4609
ORD0371,2024-06-20,Headset Bluetooth,Elektronik,271000.0,7.0,Jakarta,Cust8469
ORD0014,2024-12-01,Rak Buku Mini,Rumah Tangga,166000.0,4.0,Makassar,Cust2188
ORD0565,2024-05-19,Keripik Singkong,Makanan,18000.0,6.0,Medan,Cust6489
ORD0061,2024-11-18,Keripik Singkong,Makanan,12000.0,1.0,Surabaya,Cust5129
ORD0259,2024-09-16,Tas Ransel,Fashion,127000.0,2.0,Yogyakarta,Cust2206
ORD0273,2024-10-25,Tas Ransel,Fashion,225000.0,7.0,Surabaya,Cust8351
ORD0246,2024-08-12,Sepatu Sneakers,Fashion,330000.0,1.0,Yogyakarta,Cust9840
ORD0237,2024-12-14,Wajan Anti Lengket,Rumah Tangga,73000.0,3.0,Jakarta,Cust7544
ORD0004,2024-01-23,Smartwatch,Elektronik,473000.0,2.0,Bandung,Cust2257
ORD0411,2024-05-16,Tas Ransel,Fashion,232000.0,7.0,Yogyakarta,Cust8657
ORD0573,2024-01-19,Kemeja Flanel,Fashion,121000.0,,Makassar,Cust4238
ORD0053,2024-10-08,Power Bank 10000mAh,Elektronik,215000.0,7.0,Jakarta,Cust8614
ORD0511,2024-10-16,Madu Hutan 250ml,Makanan,80000.0,2.0,Surabaya,Cust1618
ORD0324,2024-04-14,Keripik Singkong,Makanan,17000.0,,Yogyakarta,Cust2733
ORD0051,2024-03-28,Rak Buku Mini,Rumah Tangga,197000.0,6.0,Yogyakarta,Cust3589
ORD0483,2024-09-25,Kemeja Flanel,Fashion,116000.0,4.0,Jakarta,Cust5408
ORD0133,2024-10-27,Sepatu Sneakers,Fashion,203000.0,7.0,Kediri,Cust3145
ORD0260,2024-09-29,Botol Minum,Rumah Tangga,54000.0,5.0,Makassar,Cust4053
ORD0359,2024-03-21,Sepatu Sneakers,Fashion,,2.0,Medan,Cust5257
ORD0249,2024-11-04,Kopi Bubuk 200g,Makanan,37000.0,1.0,Makassar,Cust7685
ORD0502,2024-11-24,Wajan Anti Lengket,Rumah Tangga,94000.0,7.0,Bandung,Cust3123
ORD0031,2024-12-07,Smartwatch,Elektronik,586000.0,2.0,Jakarta,Cust5994
ORD0142,2024-05-31,Kemeja Flanel,Fashion,147000.0,2.0,Surabaya,Cust8674
ORD0295,2024-05-04,Kabel Data USB-C,Elektronik,19000.0,5.0,Kediri,Cust7268
ORD0368,2024-11-04,Headset Bluetooth,Elektronik,,5.0,Semarang,Cust1594
ORD0023,2024-10-05,Tas Ransel,Fashion,201000.0,,Semarang,Cust9280
ORD0578,2024-06-10,Kabel Data USB-C,Elektronik,15000.0,3.0,Yogyakarta,Cust7389
ORD0193,2024-12-01,Botol Minum,Rumah Tangga,31000.0,2.0,Surabaya,Cust6011
ORD0454,2024-11-10,Kaos Polos,Fashion,46000.0,3.0,Surabaya,Cust2852
ORD0052,2024-09-01,Tas Ransel,Fashion,227000.0,2.0,Jakarta,Cust8207
ORD0141,2024-11-22,Madu Hutan 250ml,Makanan,82000.0,3.0,Semarang,Cust6494
ORD0188,2024-09-14,Power Bank 10000mAh,Elektronik,94000.0,2.0,Jakarta,Cust6580
ORD0391,2024-03-11,Rak Buku Mini,Rumah Tangga,162000.0,3.0,Surabaya,Cust9835
ORD0453,2024-08-11,Smartwatch,Elektronik,317000.0,,Makassar,Cust1780
ORD0531,2024-05-15,Botol Minum,Rumah Tangga,33000.0,6.0,Surabaya,Cust3128
ORD0432,2024-05-11,Rak Buku Mini,Rumah Tangga,185000.0,7.0,Semarang,Cust4860
ORD0257,2024-11-04,Wajan Anti Lengket,Rumah Tangga,100000.0,2.0,Surabaya,Cust6558
ORD0384,2024-02-22,Kemeja Flanel,Fashion,161000.0,5.0,Medan,Cust9969
ORD0567,2024-05-02,Kemeja Flanel,Fashion,104000.0,6.0,Surabaya,Cust3118
ORD0506,2024-07-03,Smartwatch,Elektronik,561000.0,6.0,Yogyakarta,Cust8122
ORD0230,2024-10-20,Tas Ransel,Fashion,246000.0,7.0,Kediri,Cust7473
ORD0598,2024-08-25,Rak Buku Mini,Rumah Tangga,113000.0,,Semarang,Cust9187
ORD0379,2024-08-10,Power Bank 10000mAh,Elektronik,134000.0,2.0,Yogyakarta,Cust4767
ORD0437,2024-11-01,Kabel Data USB-C,Elektronik,22000.0,7.0,Makassar,Cust9203
ORD0317,2024-08-23,Rak Buku Mini,Rumah Tangga,166000.0,2.0,Medan,Cust6703
ORD0098,2024-08-25,Wajan Anti Lengket,Rumah Tangga,137000.0,6.0,Yogyakarta,Cust2274
ORD0451,2024-02-02,Madu Hutan 250ml,Makanan,,3.0,Jakarta,Cust7513
ORD0282,2024-10-14,Smartwatch,Elektronik,295000.0,4.0,Surabaya,Cust6689
ORD0215,2024-10-03,Rak Buku Mini,Rumah Tangga,173000.0,4.0,Bandung,Cust7457
ORD0156,2024-07-02,Wajan Anti Lengket,Rumah Tangga,146000.0,7.0,Makassar,Cust5867
ORD0056,2024-07-19,Kaos Polos,Fashion,67000.0,4.0,Semarang,Cust6669
ORD0024,2024-03-27,Keripik Singkong,Makanan,22000.0,4.0,Kediri,Cust6395
ORD0205,2024-01-07,Smartwatch,Elektronik,342000.0,1.0,Yogyakarta,Cust5979
ORD0343,2024-01-20,Botol Minum,Rumah Tangga,31000.0,1.0,Medan,Cust3040
ORD0564,2024-02-05,Tas Ransel,Fashion,161000.0,5.0,Yogyakarta,Cust3556
ORD0243,2024-06-29,Sepatu Sneakers,Fashion,198000.0,5.0,Semarang,Cust8951
ORD0240,2024-06-23,Botol Minum,Rumah Tangga,28000.0,7.0,Surabaya,Cust5697
ORD0389,2024-05-18,Keripik Singkong,Makanan,15000.0,7.0,Yogyakarta,Cust8246
ORD0372,2024-06-22,Wajan Anti Lengket,Rumah Tangga,108000.0,6.0,Yogyakarta,Cust1535
ORD0361,2024-07-20,Kopi Bubuk 200g,Makanan,25000.0,4.0,Semarang,Cust4455
ORD0431,2024-08-25,Sepatu Sneakers,Fashion,199000.0,1.0,Medan,Cust9915
ORD0180,2024-06-19,Kabel Data USB-C,Elektronik,25000.0,4.0,Makassar,Cust8569
ORD0047,2024-02-22,Smartwatch,Elektronik,336000.0,2.0,Kediri,Cust8688
ORD0440,2024-09-15,Power Bank 10000mAh,Elektronik,209000.0,7.0,Medan,Cust4574
ORD0471,2024-06-08,Rak Buku Mini,Rumah Tangga,93000.0,4.0,Yogyakarta,Cust3491
ORD0591,2024-09-17,Kopi Bubuk 200g,Makanan,38000.0,4.0,Yogyakarta,Cust4730
ORD0083,2024-04-24,Tas Ransel,Fashion,140000.0,6.0,Surabaya,Cust5673
ORD0302,2024-04-12,Kopi Bubuk 200g,Makanan,33000.0,6.0,Surabaya,Cust3551
ORD0412,2024-09-02,Kemeja Flanel,Fashion,,1.0,Bandung,Cust2445
ORD0436,2024-05-21,Sepatu Sneakers,Fashion,210000.0,4.0,Yogyakarta,Cust1405
ORD0039,2024-10-28,Kemeja Flanel,Fashion,89000.0,4.0,Semarang,Cust4881
ORD0380,2024-01-12,Kemeja Flanel,Fashion,100000.0,6.0,Yogyakarta,Cust9366
ORD0011,2024-10-20,Kabel Data USB-C,Elektronik,27000.0,5.0,Surabaya,Cust5976
ORD0465,2024-07-16,Kaos Polos,Fashion,59000.0,6.0,Jakarta,Cust4806
ORD0033,2024-12-07,Sepatu Sneakers,Fashion,185000.0,4.0,Yogyakarta,Cust4246
ORD0512,2024-08-31,Rak Buku Mini,Rumah Tangga,183000.0,6.0,Yogyakarta,Cust8855
ORD0529,2024-07-08,Keripik Singkong,Makanan,14000.0,2.0,Yogyakarta,Cust7559
ORD0026,2024-06-27,Wajan Anti Lengket,Rumah Tangga,79000.0,6.0,Jakarta,Cust6920
ORD0202,2024-03-27,Keripik Singkong,Makanan,23000.0,2.0,Medan,Cust2134
ORD0543,2024-03-23,Tas Ransel,Fashion,177000.0,3.0,Yogyakarta,Cust4625
ORD0301,2024-02-17,Power Bank 10000mAh,Elektronik,208000.0,5.0,Surabaya,Cust8839
ORD0540,2024-07-15,Kaos Polos,Fashion,80000.0,2.0,Yogyakarta,Cust8223
ORD0434,2024-06-23,Sepatu Sneakers,Fashion,256000.0,3.0,Yogyakarta,Cust9627
ORD0203,2024-09-09,Smartwatch,Elektronik,521000.0,2.0,Semarang,Cust1541
ORD0090,2024-08-31,Kopi Bubuk 200g,Makanan,29000.0,2.0,Medan,Cust2076
ORD0066,2024-06-01,Headset Bluetooth,Elektronik,290000.0,4.0,Bandung,Cust6201
ORD0396,2024-12-19,Keripik Singkong,Makanan,16000.0,2.0,Kediri,Cust6110
ORD0328,2024-06-22,Kaos Polos,Fashion,80000.0,2.0,Bandung,Cust8962
ORD0558,2024-04-15,Keripik Singkong,Makanan,15000.0,6.0,Semarang,Cust7101
ORD0279,2024-08-21,Kaos Polos,Fashion,68000.0,4.0,Bandung,Cust7784
ORD0552,2024-03-09,Power Bank 10000mAh,Elektronik,147000.0,1.0,Yogyakarta,Cust5746
ORD0352,2024-08-16,Kaos Polos,Fashion,61000.0,3.0,Surabaya,Cust2875
